location_name,datetimeLocal,co,no2,o3,pm10,pm25,so2,pm25_24h,pm10_24h,no2_24h,so2_24h,co_8h,o3_8h,si_pm25,si_pm10,si_no2,si_so2,si_co,si_o3,AQI,dominant_pollutant,AQI_category,hour,dayofweek,month,is_weekend,hour_sin,hour_cos,doy_sin,doy_cos,co_lag1,co_lag3,co_lag24,co_roll6_mean,no2_lag1,no2_lag3,no2_lag24,no2_roll6_mean,o3_lag1,o3_lag3,o3_lag24,o3_roll6_mean,pm10_lag1,pm10_lag3,pm10_lag24,pm10_roll6_mean,pm25_lag1,pm25_lag3,pm25_lag24,pm25_roll6_mean,so2_lag1,so2_lag3,so2_lag24,so2_roll6_mean,AQI_lag1,AQI_lag3,AQI_lag24,AQI_roll6_mean,"station_Ballygunge, Kolkata - WBPCB","station_Bidhannagar, Kolkata - WBPCB","station_Fort William, Kolkata - WBPCB","station_Jadavpur, Kolkata - WBPCB","station_Rabindra Sarobar, Kolkata - WBPCB","station_Victoria, Kolkata - WBPCB"
"Ballygunge, Kolkata - WBPCB",2022-01-02 19:00:00+05:30,1770.0,61.6,9.72,175.7,108.9,21.15,86.84254385964911,141.1925438596491,28.37543859649123,23.38434210526316,0.942375,60.125,189.2210980036297,127.70511303426352,35.469298245614034,29.230427631578948,47.11875,60.125,189.2210980036297,pm25,Moderate,19,6,1,1,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,1570.0,580.0,636.6666666666666,854.1666666666666,44.6,22.4,27.1,27.983333333333334,24.7,80.28,67.88,67.075,147.7,140.9,121.96666666666668,144.53333333333333,87.3,91.5,67.46666666666667,91.51666666666667,19.1,30.29,29.57,27.022499999999997,180.7839382940109,171.51279491833031,89.5525,169.6831215970962,True,False,False,False,False,False
"Ballygunge, Kolkata - WBPCB",2022-01-02 20:00:00+05:30,1830.0,60.7,8.61,201.9,134.2,19.645,90.56447368421053,144.95131578947368,29.07894736842105,23.05065789473684,1.090625,52.5975,,130.20255210173084,36.34868421052632,28.81332236842105,,52.5975,130.20255210173084,pm10,Moderate,20,6,1,1,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1770.0,1075.0,730.0,1039.1666666666667,61.6,33.5,31.9,34.5,9.72,52.49,49.35,54.97,175.7,144.3,117.0,149.36666666666665,108.9,89.4,64.7,93.88333333333333,21.15,24.695,30.46,25.734166666666667,189.2210980036297,175.95072595281312,81.512,174.64085753176047,True,False,False,False,False,False
"Ballygunge, Kolkata - WBPCB",2022-01-02 21:00:00+05:30,1890.0,59.8,7.5,228.1,159.5,18.14,95.53684210526316,150.10263157894735,29.892105263157895,22.70184210526316,1.244375,43.24125,216.48784029038117,133.6252384316496,37.36513157894737,28.37730263157895,58.860416666666666,43.24125,216.48784029038117,pm25,Poor,21,6,1,1,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,1830.0,1570.0,1320.0,1238.611111111111,60.7,44.6,53.3,40.87222222222223,8.61,24.7,11.9,42.794999999999995,201.9,147.7,131.0,158.88888888888889,134.2,87.3,60.4,100.64444444444445,19.645,19.1,28.42,24.116666666666664,130.20255210173084,180.7839382940109,69.91,169.14429256141975,True,False,False,False,False,False
"Ballygunge, Kolkata - WBPCB",2022-01-02 22:00:00+05:30,1530.0,48.66666666666666,13.29,230.06666666666663,160.03333333333333,19.696666666666665,98.76166666666668,154.10083333333333,30.83083333333333,22.551583333333333,1.356458333333333,34.695,227.49672413793104,136.28176174496645,38.53854166666667,28.189479166666665,64.96273148148148,34.695,227.49672413793104,pm25,Poor,22,6,1,1,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1890.0,1770.0,1255.8333333333333,1452.5,59.8,61.6,50.31666666666666,47.1,7.5,9.72,12.596666666666668,30.55,228.1,175.7,130.74166666666667,173.1,159.5,108.9,61.94166666666666,111.8,18.14,21.15,27.2025,22.17,216.48784029038117,189.2210980036297,61.72238095238095,177.359824926816,True,False,False,False,False,False
"Ballygunge, Kolkata - WBPCB",2022-01-02 23:00:00+05:30,1170.0,37.53333333333333,19.08,232.03333333333333,160.56666666666666,21.25333333333333,101.70476190476192,157.81190476190477,31.15,22.489761904761902,1.426875,26.95875,237.54384236453205,138.74750719079577,38.9375,28.112202380952382,68.79652777777777,26.95875,237.54384236453205,pm25,Poor,23,6,1,1,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,1530.0,1830.0,1191.6666666666667,1610.8333333333333,48.66666666666666,60.7,47.33333333333333,51.47777777777778,13.29,8.61,13.293333333333331,19.385,230.06666666666663,201.9,130.48333333333335,187.9611111111111,160.03333333333333,134.2,63.48333333333333,123.22222222222223,19.696666666666665,19.645,25.985000000000003,20.404444444444444,227.49672413793104,130.20255210173084,55.66875,186.69047979674943,True,False,False,False,False,False
"Ballygunge, Kolkata - WBPCB",2022-01-03 00:00:00+05:30,810.0,26.4,24.87,234.0,161.1,22.81,104.40454545454546,161.275,30.93409090909091,22.50431818181818,1.455625,20.0325,246.7603448275862,141.0484899328859,38.66761363636363,28.13039772727273,70.36180555555555,20.0325,246.7603448275862,pm25,Poor,0,0,1,0,0.0,1.0,0.0,1.0,1170.0,1890.0,1127.5,1626.6666666666667,37.53333333333333,59.8,44.35,52.15,19.08,7.5,13.99,13.816666666666668,232.03333333333333,228.1,130.225,202.58333333333334,160.56666666666666,159.5,65.025,135.08333333333334,21.25333333333333,18.14,24.7675,19.830833333333334,237.54384236453205,216.48784029038117,45.34375,196.95599919870264,True,False,False,False,False,False
"Ballygunge, Kolkata - WBPCB",2022-01-05 19:00:00+05:30,976.0217983651228,35.87901907356948,90.73029972752045,202.1198910081744,134.583378746594,31.12378746594005,,,,,0.9625687281043208,90.34566599357728,,,,,48.12843640521604,90.34566599357728,90.34566599357728,o3,Satisfactory,19,2,1,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,970.6811989100818,960.0,1770.0,965.3405994550409,35.61934604904632,35.1,61.6,35.35967302452316,90.96686648501364,91.44,9.72,91.20343324250682,201.8465940054496,201.3,175.7,201.5732970027248,134.45558583106265,134.2,108.9,134.32779291553132,31.175858310626705,31.28,21.15,31.22792915531335,90.2815603712534,89.879765625,189.2210980036297,200.13343339552668,True,False,False,False,False,False
"Ballygunge, Kolkata - WBPCB",2022-01-05 20:00:00+05:30,,,,,,,,,,,0.9625687281043208,90.34566599357728,,,,,48.12843640521604,90.34566599357728,90.34566599357728,o3,Satisfactory,20,2,1,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,976.0217983651228,965.3405994550408,1830.0,968.0108991825614,35.87901907356948,35.35967302452316,60.7,35.48950953678474,90.73029972752045,91.2034332425068,8.61,91.08514986376022,202.1198910081744,201.5732970027248,201.9,201.7099455040872,134.583378746594,134.32779291553132,134.2,134.391689373297,31.12378746594005,31.22792915531335,19.645,31.201893732970028,90.34566599357728,90.14449914850135,130.20255210173084,163.87798289805536,True,False,False,False,False,False
"Ballygunge, Kolkata - WBPCB",2022-01-21 02:00:00+05:30,2517.6470588235293,115.36470588235296,19.12235294117647,278.2352941176471,170.3,15.113529411764706,,,,,2.800464360130973,8.96630091818744,,,,,109.7779710953122,8.96630091818744,109.7779710953122,co,Moderate,2,4,1,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,2651.764705882353,2920.0,817.03125,2785.8823529411766,120.37647058823528,130.4,26.8078125,125.38823529411764,14.288235294117644,4.62,27.99046875,9.454117647058823,286.02352941176474,301.6,232.4671875,293.81176470588235,173.9,181.1,159.83906249999998,177.5,14.132352941176473,12.17,23.20703125,13.151176470588235,110.36866545880244,111.1755596178388,274.88061691810344,100.85338555051511,True,False,False,False,False,False
"Ballygunge, Kolkata - WBPCB",2022-01-22 07:00:00+05:30,897.5,43.3,28.1875,171.75,108.725,10.1825,116.31071428571428,172.90210084033612,41.14789915966387,20.6734243697479,0.7585714285714286,44.03714285714285,287.4055418719212,148.77387908183408,51.18582202111615,25.84178046218487,37.92857142857143,44.03714285714285,287.4055418719212,pm25,Poor,7,5,1,1,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,835.0,710.0,976.0217983651228,772.5,38.400000000000006,28.6,35.87901907356948,33.5,34.235,46.33,90.73029972752045,40.2825,170.9,169.2,202.1198910081744,170.04999999999998,109.15,110.0,134.583378746594,109.575,11.655,14.6,31.12378746594005,13.1275,289.39754641909815,51.38875,90.34566599357728,185.88586804443003,True,False,False,False,False,False
