location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
10918,"Ballygunge, Kolkata - WBPCB","co",460,"µg/m³","2022-01-01T07:30:00Z","2022-01-01T13:00:00+05:30","Asia/Kolkata",22.5367507,88.3638022,,,,"West Bengal Pollution Control Board","CPCB"
10918,"Ballygunge, Kolkata - WBPCB","co",450,"µg/m³","2022-01-01T08:30:00Z","2022-01-01T14:00:00+05:30","Asia/Kolkata",22.5367507,88.3638022,,,,"West Bengal Pollution Control Board","CPCB"
10918,"Ballygunge, Kolkata - WBPCB","co",730,"µg/m³","2022-01-01T11:30:00Z","2022-01-01T17:00:00+05:30","Asia/Kolkata",22.5367507,88.3638022,,,,"West Bengal Pollution Control Board","CPCB"
10918,"Ballygunge, Kolkata - WBPCB","co",1320,"µg/m³","2022-01-01T12:30:00Z","2022-01-01T18:00:00+05:30","Asia/Kolkata",22.5367507,88.3638022,,,,"West Bengal Pollution Control Board","CPCB"
10918,"Ballygunge, Kolkata - WBPCB","co",550,"µg/m³","2022-01-02T00:30:00Z","2022-01-02T06:00:00+05:30","Asia/Kolkata",22.5367507,88.3638022,,,,"West Bengal Pollution Control Board","CPCB"
10918,"Ballygunge, Kolkata - WBPCB","co",580,"µg/m³","2022-01-02T02:30:00Z","2022-01-02T08:00:00+05:30","Asia/Kolkata",22.5367507,88.3638022,,,,"West Bengal Pollution Control Board","CPCB"
10918,"Ballygunge, Kolkata - WBPCB","co",660,"µg/m³","2022-01-02T07:30:00Z","2022-01-02T13:00:00+05:30","Asia/Kolkata",22.5367507,88.3638022,,,,"West Bengal Pollution Control Board","CPCB"
10918,"Ballygunge, Kolkata - WBPCB","co",580,"µg/m³","2022-01-02T10:30:00Z","2022-01-02T16:00:00+05:30","Asia/Kolkata",22.5367507,88.3638022,,,,"West Bengal Pollution Control Board","CPCB"
10918,"Ballygunge, Kolkata - WBPCB","co",1570,"µg/m³","2022-01-02T12:30:00Z","2022-01-02T18:00:00+05:30","Asia/Kolkata",22.5367507,88.3638022,,,,"West Bengal Pollution Control Board","CPCB"
10918,"Ballygunge, Kolkata - WBPCB","co",1770,"µg/m³","2022-01-02T13:30:00Z","2022-01-02T19:00:00+05:30","Asia/Kolkata",22.5367507,88.3638022,,,,"West Bengal Pollution Control Board","CPCB"
10918,"Ballygunge, Kolkata - WBPCB","co",1890,"µg/m³","2022-01-02T15:30:00Z","2022-01-02T21:00:00+05:30","Asia/Kolkata",22.5367507,88.3638022,,,,"West Bengal Pollution Control Board","CPCB"
10918,"Ballygunge, Kolkata - WBPCB","co",810,"µg/m³","2022-01-02T18:30:00Z","2022-01-03T00:00:00+05:30","Asia/Kolkata",22.5367507,88.3638022,,,,"West Bengal Pollution Control Board","CPCB"
10918,"Ballygunge, Kolkata - WBPCB","co",960,"µg/m³","2022-01-05T10:30:00Z","2022-01-05T16:00:00+05:30","Asia/Kolkata",22.5367507,88.3638022,,,,"West Bengal Pollution Control Board","CPCB"
10918,"Ballygunge, Kolkata - WBPCB","co",2920,"µg/m³","2022-01-20T17:30:00Z","2022-01-20T23:00:00+05:30","Asia/Kolkata",22.5367507,88.3638022,,,,"West Bengal Pollution Control Board","CPCB"
