location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
6950,"Jadavpur, Kolkata - WBPCB","co",610,"µg/m³","2022-01-01T00:30:00Z","2022-01-01T06:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",390,"µg/m³","2022-01-01T11:30:00Z","2022-01-01T17:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",480,"µg/m³","2022-01-01T12:30:00Z","2022-01-01T18:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",380,"µg/m³","2022-01-02T10:30:00Z","2022-01-02T16:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",890,"µg/m³","2022-01-02T16:30:00Z","2022-01-02T22:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",890,"µg/m³","2022-01-02T17:30:00Z","2022-01-02T23:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",800,"µg/m³","2022-01-02T18:30:00Z","2022-01-03T00:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",1420,"µg/m³","2022-01-05T22:30:00Z","2022-01-06T04:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",1180,"µg/m³","2022-01-10T00:30:00Z","2022-01-10T06:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",460,"µg/m³","2022-01-17T02:15:00Z","2022-01-17T07:45:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",430,"µg/m³","2022-01-20T10:15:00Z","2022-01-20T15:45:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",970,"µg/m³","2022-01-20T22:30:00Z","2022-01-21T04:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",1170,"µg/m³","2022-01-21T19:15:00Z","2022-01-22T00:45:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",950,"µg/m³","2022-01-21T20:30:00Z","2022-01-22T02:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",840,"µg/m³","2022-01-21T22:30:00Z","2022-01-22T04:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",790,"µg/m³","2022-01-22T02:30:00Z","2022-01-22T08:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",620,"µg/m³","2022-01-22T06:30:00Z","2022-01-22T12:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",850,"µg/m³","2022-01-22T18:30:00Z","2022-01-23T00:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",1120,"µg/m³","2022-01-23T17:30:00Z","2022-01-23T23:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",660,"µg/m³","2022-01-23T21:30:00Z","2022-01-24T03:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",460,"µg/m³","2022-01-24T08:30:00Z","2022-01-24T14:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",800,"µg/m³","2022-01-24T23:30:00Z","2022-01-25T05:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",850,"µg/m³","2022-01-25T00:30:00Z","2022-01-25T06:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
6950,"Jadavpur, Kolkata - WBPCB","co",750,"µg/m³","2022-01-25T02:30:00Z","2022-01-25T08:00:00+05:30","Asia/Kolkata",22.49929,88.36917,,,,"West Bengal Pollution Control Board","CPCB"
