feature,importance
AQI_lag1,145818.734375
AQI_lag3,48101.8828125
AQI_roll6_mean,15364.3837890625
pm25_lag1,2720.979248046875
pm10_lag3,2304.425537109375
pm10_roll6_mean,2294.4150390625
pm25_roll6_mean,1881.0433349609375
o3_lag3,1467.9820556640625
pm10_lag1,1466.6715087890625
o3_roll6_mean,1429.04345703125
is_weekend,1286.9296875
o3_lag1,1274.7691650390625
pm25_lag3,1218.8212890625
co_roll6_mean,1091.458251953125
month,942.0297241210938
AQI_lag24,938.1055297851562
co_lag3,933.2661743164062
pm25_lag24,883.7650146484375
no2_lag3,881.8184814453125
so2_lag24,767.1753540039062
no2_lag24,742.3531494140625
no2_lag1,737.1015014648438
pm10_lag24,691.822265625
hour_sin,687.458251953125
co_lag1,675.5440673828125
no2_roll6_mean,674.2447509765625
"station_Bidhannagar, Kolkata - WBPCB",535.9191284179688
doy_cos,529.2996215820312
so2_lag1,489.9888000488281
dayofweek,473.3553771972656
so2_roll6_mean,462.88385009765625
hour,426.412109375
so2_lag3,421.2830810546875
o3_lag24,412.8648681640625
"station_Victoria, Kolkata - WBPCB",404.9347229003906
co_lag24,397.982421875
hour_cos,387.20318603515625
"station_Ballygunge, Kolkata - WBPCB",353.82415771484375
doy_sin,208.90142822265625
"station_Jadavpur, Kolkata - WBPCB",160.44105529785156
"station_Fort William, Kolkata - WBPCB",154.43600463867188
"station_Rabindra Sarobar, Kolkata - WBPCB",98.2569580078125
